Time(Min)	T(K) 	(0 Deg.) M.S.(uV)	(0 Deg.)STD(uV)
58.2	103.0	-54.72	0.03
58.6	103.1	-54.75	0.06
59.0	103.3	-54.70	0.00
59.3	103.4	-54.65	0.00
59.7	103.5	-54.63	0.03
60.1	103.6	-54.51	0.05
60.6	103.7	-54.49	0.02
61.2	103.8	-54.40	0.00
61.4	104.0	-54.41	0.02
61.6	104.1	-54.38	0.03
61.9	104.2	-54.39	0.02
62.2	104.3	-54.38	0.03
62.6	104.4	-54.34	0.05
63.1	104.5	-54.27	0.04
63.7	104.7	-54.25	0.06
64.5	104.8	-54.21	0.02
65.4	104.9	-54.12	0.03
65.7	104.9	-54.14	0.02
